iter	Passed	Remaining
0	1	136
1	2	117
2	3	110
3	4	109
4	5	105
5	6	102
6	7	100
7	8	97
8	9	95
9	10	95
10	11	94
11	12	92
12	13	91
13	14	90
14	15	89
15	16	88
16	17	87
17	18	85
18	19	84
19	20	83
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	76
27	29	76
28	30	74
29	31	74
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
